Country,EducationalAttainment,StudentSkills,YearsInEducation,LifeExpectancy,SelfReportedHealth,LifeSatisfaction,WorkingLongHours,TimeDevotedToLeisure
Australia,76,512,19.4,82.1,85,7.3,14.02,14.41
Austria,83,500,17,81,69,6.9,7.61,14.46
Belgium,72,509,18.9,80.5,74,6.9,4.57,15.71
Canada,89,522,17.2,81.5,89,7.3,3.94,14.25
Chile,57,436,16.5,78.9,59,6.7,15.42,14.41
Czech Republic,92,500,18.1,78.2,60,6.5,6.98,14.98
Denmark,78,498,19.4,80.1,72,7.5,2.03,16.06
Estonia,90,526,17.5,76.5,54,5.6,3.3,14.9
Finland,85,529,19.7,80.7,65,7.4,3.58,14.89
France,73,500,16.4,82.1,67,6.5,8.15,15.33
Germany,86,515,18.2,81,65,7,5.25,15.31
Greece,68,466,18.6,80.7,74,4.8,6.16,14.91
Hungary,82,487,17.6,75.2,57,4.9,3.19,15.04
Iceland,71,484,19.8,83,77,7.5,12.25,14.61
Ireland,75,516,17.6,81,82,7,4.2,15.19
Israel,85,474,15.8,81.8,80,7.4,16.03,14.48
Italy,57,490,16.8,82.3,66,6,3.66,14.98
Japan,94,540,16.3,83.2,30,5.9,22.26,14.93
Korea,82,542,17.5,81.3,35,5.8,18.72,14.63
Luxembourg,78,490,15.1,81.5,72,6.9,3.47,15.12
Mexico,37,417,14.4,74.6,66,6.7,28.83,13.89
Netherlands,73,519,18.7,81.2,76,7.3,0.45,15.44
New Zealand,74,509,18.1,81.5,90,7.3,13.87,14.87
Norway,82,496,17.9,81.5,76,7.4,2.82,15.56
Poland,90,521,18.4,76.9,58,5.8,7.41,14.2
Portugal,38,488,17.6,80.5,46,5.1,9.62,14.95
Slovak Republic,92,472,16.3,76.2,66,6.1,7.02,14.99
Slovenia,85,499,18.4,80.2,65,5.7,5.63,14.62
Spain,55,490,17.6,82.5,72,6.5,5.89,16.06
Sweden,88,482,19.3,81.8,81,7.2,1.13,15.11
Switzerland,86,518,17.3,82.8,81,7.5,6.72,14.98
Turkey,34,462,16.4,74.6,68,5.6,40.86,13.42
United Kingdom,78,502,16.4,81,74,6.8,12.7,14.83
United States,89,492,17.2,78.7,88,7.2,11.3,14.27
